"Gene Symbol"	"Affy ProbeId"	"TSNI Ranking"	"Binding Score *"	"TSNI score"	"pvalue TSNI"	"Area*"	"pvalue*"	"Genes found in literature (Perez & Pietenpol, Cell Cycle 6:3, e1-e9, 2007"	"Genes found in literature Truong et al,  2006 20: 3185-3197 Genes & Dev. )"	"Genes found in literature  (Yang et al, Molecular Cell 24, 593–602, November 17, 2006)"	"Genes found in literature Vigano MA et al, EMBO J. 2006 Nov 1;25(21):5105-16."
"Prnp"	"1416130_at"	468	0	-2.01E-01	0.6201	2.08E+00	0.0023	0	0	0	0
"Rp9h"	"1418277_at"	469	0	2.01E-01	0.6201	1.77E+00	0.036	0	0	0	0
"Pmm1"	"1430780_a_at"	470	0	2.01E-01	0.6201	2.23E+00	0.0001	0	0	0	0
"1110058L19Rik"	"1418327_at"	471	0	-2.00E-01	0.6217	2.74E+00	0.0001	0	0	0	0
"Rnpc2"	"1438398_at"	472	0	2.00E-01	0.6217	6.94E+00	0.0158	0	0	0	0
"Gtpbp2"	"1416691_at"	473	0	2.00E-01	0.6217	3.51E+00	0.0047	0	0	0	0
"Ptgs2"	"1417262_at"	474	0	-2.00E-01	0.6217	2.29E+01	0	0	0	0	0
"Cst7"	"1419202_at"	475	0	-1.99E-01	0.6233	1.50E+00	0.0066	0	0	0	0
"Fen1"	"1421731_a_at"	476	0	1.99E-01	0.6233	1.66E+00	0	0	0	0	0
"Hspb8"	"1417014_at"	477	35.106	-1.99E-01	0.6233	2.90E+00	0.0101	0	0	0	0
"Tubg1"	"1417144_at"	478	0	-1.99E-01	0.6233	2.34E+00	0	0	0	0	0
"Pus3"	"1418491_a_at"	479	0	1.99E-01	0.6233	1.70E+00	0.0073	0	0	0	1
"D2Ertd750e"	"1423463_a_at"	480	0	1.98E-01	0.6249	3.02E+00	0.0002	0	0	0	0
"Rnase1"	"1416523_at"	481	0	-1.98E-01	0.6249	5.54E+00	0.0002	0	0	0	0
"Slc6a14"	"1420503_at"	482	0	-1.97E-01	0.6265	4.90E+00	0	0	1	0	0
"5730494M16Rik"	"1428189_at"	483	0	1.97E-01	0.6265	2.19E+00	0	0	0	0	0
"6330407G11Rik"	"1416911_a_at"	484	28.1925	1.96E-01	0.6281	2.11E+00	0	0	0	0	0
"BB146404"	"1424680_at"	485	0	1.96E-01	0.6281	1.50E+00	0	0	0	0	0
"Ube2t"	"1422462_at"	486	0	1.96E-01	0.6281	1.90E+00	0.0034	0	0	0	0
"Tspo"	"1456251_x_at"	487	0	-1.96E-01	0.6281	1.52E+00	0	0	0	0	0
"Lgals1"	"1419573_a_at"	488	0	-1.95E-01	0.6297	2.09E+00	0.0069	0	0	0	0
"Pvr"	"1423905_at"	489	0	-1.95E-01	0.6297	3.79E+00	0	0	0	0	0
"5730596K20Rik"	"1451376_at"	490	0	1.95E-01	0.6297	1.74E+00	0.0247	0	0	0	0
"Tcrb-V13"	"1426159_x_at"	491	0	-1.95E-01	0.6297	2.13E+00	0	0	0	0	0
"Ubap1"	"1423185_a_at"	492	0	1.94E-01	0.6313	1.88E+00	0	0	0	0	0
"Il1rn"	"1425663_at"	493	11.121	-1.93E-01	0.6329	2.99E+00	0	0	1	1	0
"Spr"	"1432372_a_at"	494	0	1.93E-01	0.6329	2.21E+00	0.0014	0	0	0	0
"Nt5c3"	"1451050_at"	495	0	-1.92E-01	0.6345	4.71E+00	0.0012	0	0	0	0
"Dtymk"	"1452681_at"	496	0	1.92E-01	0.6345	2.83E+00	0	0	0	0	0
"Elovl7"	"1424097_at"	497	0	1.92E-01	0.6345	4.83E+00	0	0	0	1	0
"Nat6"	"1419213_at"	498	0	1.91E-01	0.6361	2.49E+00	0.0001	0	0	0	0
"Rai14"	"1417401_at"	499	0	1.91E-01	0.6361	2.27E+00	0.0001	0	0	0	0
"Nek2"	"1417299_at"	500	0	-1.90E-01	0.6377	1.77E+00	0.0137	0	0	0	0
"Prim1"	"1449061_a_at"	501	0	1.90E-01	0.6377	1.77E+00	0.0006	0	0	0	0
"Stambpl1"	"1418546_a_at"	502	0	-1.89E-01	0.6394	2.45E+00	0	0	0	0	0
"Tm2d2"	"1456663_x_at"	503	0	-1.89E-01	0.6394	2.44E+00	0.0242	0	0	0	0
"Trim25"	"1419879_s_at"	504	0	1.88E-01	0.641	1.71E+00	0	0	0	0	0
"0610010E21Rik"	"1433936_at"	505	0	-1.88E-01	0.641	2.77E+00	0	0	0	0	0
"Ckap2"	"1434748_at"	506	0	-1.87E-01	0.6426	6.37E+00	0	0	0	0	0
"Cryab"	"1416455_a_at"	507	0	-1.85E-01	0.6458	7.68E+00	0	0	1	0	0
"Parp1"	"1435368_a_at"	508	0	1.85E-01	0.6458	2.19E+00	0.0013	0	0	0	0
"Gtse1"	"1416969_at"	509	0	1.84E-01	0.6475	2.87E+00	0	0	0	0	0
"Ccne1"	"1416492_at"	510	0	1.83E-01	0.6491	2.63E+00	0	0	0	0	0
"Cyp2b10"	"1425645_s_at"	511	51.7961	-1.83E-01	0.6491	2.35E+00	0.0044	0	0	0	0
"Trib1"	"1424880_at"	512	0	1.83E-01	0.6491	3.94E+00	0	0	0	0	0
"Slc25a10"	"1416954_at"	513	0	-1.83E-01	0.6491	2.35E+00	0	0	0	0	0
"---"	"1436839_at"	514	0	1.82E-01	0.6507	4.27E+00	0.0212	0	0	0	0
"5830411E10Rik"	"1426806_at"	515	0	-1.82E-01	0.6507	4.64E+00	0	0	0	0	0
"Plk3"	"1434496_at"	516	0	-1.81E-01	0.6524	1.11E+01	0	0	0	0	0
"Kif2c /// LOC631653"	"1449060_at"	517	0	1.80E-01	0.654	2.13E+00	0.0093	0	0	0	0
"Papss1"	"1415890_at"	518	0	-1.80E-01	0.654	2.93E+00	0.002	0	0	0	0
"Ldhb"	"1448237_x_at"	519	0	-1.79E-01	0.6556	3.83E+00	0	0	0	0	0
"Rnf11"	"1426405_at"	520	0	-1.78E-01	0.6573	1.74E+00	0.0001	0	0	0	0
"Chek2"	"1422747_at"	521	0	1.74E-01	0.6638	3.35E+00	0	0	0	0	0
"Hmgb3"	"1416155_at"	522	0	1.74E-01	0.6638	1.81E+00	0	0	0	0	0
"Jmy"	"1420639_at"	523	0	1.73E-01	0.6655	3.58E+00	0	0	0	0	0
"Rrm2"	"1416120_at"	524	27.8688	1.73E-01	0.6655	3.26E+00	0	0	0	0	0
"D530037H12Rik"	"1437917_at"	525	0	-1.70E-01	0.6704	5.16E+00	0.0067	0	0	0	0
"E230022H04Rik"	"1460450_at"	526	0	1.70E-01	0.6704	1.84E+00	0	0	0	0	0
"Dnajb6"	"1434035_at"	527	0	-1.69E-01	0.6721	1.73E+00	0.0304	0	0	0	0
"Ccnl1"	"1423622_a_at"	528	0	1.69E-01	0.6721	4.04E+00	0.0473	0	0	0	0
"Cd68"	"1449164_at"	529	0	-1.69E-01	0.6721	2.23E+00	0.0002	0	0	0	0
"Atp6ap2"	"1437688_x_at"	530	0	1.68E-01	0.6737	2.18E+00	0.0155	0	0	0	0
"Hnrpu"	"1434390_at"	531	0	1.66E-01	0.677	5.66E+00	0.0106	0	0	1	0
